video_id,videoViewCount,videoLikesCount,videoCommentsCount
PEc29sRZoTM,20907,875,75
DlEkWd-8VXA,4169,156,11
vcijg0gUXSg,309812,5675,234
gCg47n_TlFc,22053,611,123
sW5LoDA1ssM,394514,6377,164
4nsdARJGzJ0,26490,819,63
_QvQxm4dptI,39796,1009,104
HX2TabgkzHo,45772,1639,132
gP-AxNi6uxo,517459,7728,127
KB2CtEDrglY,85992,1393,125
2HfSFdPEFRg,64273,1905,91
g0m5sEHPU-s,775671,12458,318
Q7i6zxHVj2Q,166313,3366,286
ddn-2r1j_OU,33565,1674,155
Pf-9pjJK1e0,66386,1938,68
-bSkREem8dM,947847,24292,340
xKdtP3IZbnU,12003,326,161
GsAXOr715AU,3185,133,11
2JnlQ8jwWbE,36647,1515,200
hNTNZ00cZig,20344,688,56
gz2j5NBESSs,7184,276,159
opJgMj1IUrc,1048476,21575,1216
yRWkSKRYCaI,22306,823,72
_jmiEGZ6PIY,703998,14119,351
4A8LV6fObYA,71782,1677,130
MPENhkuSo0Q,26565,1021,94
3irO29PJQHs,124829,5834,219
uHJFJUIYNAo,21171,720,61
gMAHXrty6wI,187537,4433,92
BIUFr9srS78,23508,865,361
_eZRkmRfVTM,260284,5277,129
s3JmRxs53W4,3499,159,7
yDG5KiiOZcQ,498430,21902,630
Z7hPEwCzk2s,313830,6319,251
XRPyj7cKVsQ,511908,10410,519
lH7HfwUFnYA,1017403,20020,466
zOR0-nygfDE,350093,6677,511
A4SVUF-fTwc,176797,4489,73
FnTunxd8tAM,18459,956,71
-_z_aphWSEo,11215,896,106
pL0jEjeM5hI,11450,343,34
eg_5EAUXs5o,20779,990,77
ebjDwX8sUMk,218497,4733,216
f6qxxtWkaUg,282722,5802,101
6xv1KvCMF1Q,904524,19863,449
465x3JmMJYU,17514,710,114
Ns1ZpTxQnUE,2685,238,96
HiOtQMcI5wg,313856,6861,707
CUa30M_FPhk,100093,2642,157
DKrSgSy6F1o,4750,191,26
_zxPx1PQCqI,143357,4395,481
UGF49YZZRNc,92544,4813,244
aLp-6C-p-T0,130980,5624,362
ocdwh0KYeUs,762407,16650,838
iPYVYBtUTyE,203408,3479,528
dMHWOhgzUhU,494495,21090,611
A-LkxegXFX8,6446,245,108
RJw-GSXXguA,34328,886,86
8rO7ztF4NtU,458440,8475,886
QILNlRvJlfQ,415651,6419,471
SVv0WwPzaUg,3781,195,55
qfyynHBFOsM,2198921,37369,4393
m1KcNV-Zhmc,436944,9247,244
IZRe0nwkuXc,22446,819,141
9RRQtNnq3s0,374848,12538,633
qewHAdfzLOw,28439,965,85
bHssBHfHWmU,203531,4281,330
A4OVjWeVb10,63502,1868,83
SIseim20_Dc,16497,483,117
NrBJmtD0kEw,498855,8465,204
wnapnTAMj68,371545,11209,1166
duMcYRtQITA,51817,2358,314
QG1fo7LFesA,25083,586,77
pYRG5X7110M,128098,3105,94
NViKsiGP4TY,25705,432,46
1gdKC5O0Pwc,239944,5250,419
GQj6_6V_jVA,190690,4630,156
RF0LE3hYFrI,275655,5917,147
8o-O6pR6yAE,5324,173,22
eFDbE5Yunj0,135291,3308,308
D9bNctNnAig,209544,4238,272
VsztBAEtC7c,56440,1387,119
T3KMZoXrVTQ,34986,1409,172
tJaDicmRW7s,15532,500,146
hfRcaRw_atI,106371,2623,73
aPDOGxrONy0,1585,140,101
w25ZjL0OqT4,42309,1210,137
EWPeAXrF3zg,12155,252,33
ru0Xdvxd37Q,47467,1556,209
BAVPAYWAoC4,87195,2829,147
whgwEwA5SHU,3143,97,54
K1WeoKxLZ5o,405667,6327,197
0HRgbb1PcDQ,23319,739,190
D6XNlTfglW4,310804,6927,205
MQ5UUNjWgug,4912,131,18
JikLVP9DkPs,24900,885,162
yzqpYs7dIqY,14691,572,207
7uH7_DThtX0,351020,12289,253
GGLF2jLo8J4,3936,122,81
BGBXnNvWdQ4,27761,705,66
PurMLMKNX0I,13975,396,118
pvxNYyJuiqA,78016,3606,270
rZpfNh28nFI,3567,104,25
brxnKIy6Cek,14529,565,223
ySq0cgkZiX4,197415,5206,304
aJ9Q10v8Nrc,180260,6206,986
C2ik_qR5GOU,4879,181,74
mLUzFXPPa4I,115889,4924,288
XmFhpoS6Etk,7635,373,176
1xT68oeQTd0,75990,2797,187
eTsHJoMmhYQ,7388,254,161
8SolrjsGqzE,45905,1523,717
SKsjWzzz4mY,14910,619,82
Z2AachB309o,418431,12165,3821
_gP-DH0iZLw,44779,1315,73
-Inc1be4zSg,22436,710,85
CsMh7Ykmnw4,12577,212,119
ho2vzKPAD50,3125,101,43
5MZo2RoS8Yo,131770,4657,270
M2ySRYpo9S0,927626,19750,1047
ncXgqGePvwI,35343,581,93
ywZXpfdqg1o,1058335,20332,512
IqQCBytyATo,4989,179,67
MpIi4HtCiVk,55500,1390,159
G4syHs3M82E,795089,19930,592
appOFpF2pFg,58131,2758,95
B2SPC3Wz1R8,188894,9588,426
fUpChfNN5Uo,797216,24400,862
Dk7he_yEs4U,156432,4101,105
LJtFgnHGAos,12216,271,54
ziurEoqEcO4,27833,859,27
rLKC--8UYSw,79185,1886,36
sua7xKN0cPc,135735,3452,112
fweZQqB0nwQ,86807,1705,60
oXAwKZWfbW0,15503,521,52
bhnrIforc7s,159855,3534,142
tYBOMw7Ob8E,194516,4939,92
Twusw__OzA8,318377,7587,440
lYKkro6rKm0,276770,5263,115
9URM1_2S0ho,571355,9452,479
qzZU6LAtIig,126653,2584,261
LXwfzIRD-Ds,342116,8343,235
A9TOuDZTPDU,360466,6215,156
PyYgERKq25I,526155,7521,306
RSlqWnP-Dy8,1477803,18737,2061
9o9loJpG-t4,26074,851,162
